Date,PJM: Tie-Flows MISO imports 5Min(7732)-MW,PJM: InterTieFlow-NYIS(6096)-MW
2/10/2022 14:00,3436.83,-2097.42
2/10/2022 15:00,3241.42,-2035
2/10/2022 16:00,2703.08,-1820.58
2/10/2022 17:00,3100.17,-2105.58
2/10/2022 18:00,2779.17,-2214.67
2/10/2022 19:00,2976.42,-2170.88
2/10/2022 20:00,3114,-2124.17
2/10/2022 21:00,3164.67,-2208.67
2/10/2022 22:00,3083.58,-2234.67
2/10/2022 23:00,3413.33,-2111.25
2/11/2022 0:00,3702.08,-2126.5
2/11/2022 1:00,3940.42,-2101.25
2/11/2022 2:00,3995.58,-2039.33
2/11/2022 3:00,3960.25,-1941.75
2/11/2022 4:00,3316.58,-1872.33
2/11/2022 5:00,2955.75,-2116.25
2/11/2022 6:00,2601.25,-2224.33
2/11/2022 7:00,2563.75,-2219.08
2/11/2022 8:00,2327.67,-2304.25
2/11/2022 9:00,2169.67,-2409.5
2/11/2022 10:00,2872.42,-2353.67
2/11/2022 11:00,3577.75,-2175.67
2/11/2022 12:00,3656.58,-2087.17
2/11/2022 13:00,3745.5,-2104.75
2/11/2022 14:00,3738.58,-1998.17
2/11/2022 15:00,3675.92,-2070.17
2/11/2022 16:00,3544.75,-2059.42
2/11/2022 17:00,3596.42,-2033.92
2/11/2022 18:00,3926.17,-1927.42
2/11/2022 19:00,3802.17,-2000.25
2/11/2022 20:00,3683.5,-1918.42
2/11/2022 21:00,4003.33,-1910.75
2/11/2022 22:00,3995.17,-1805.17
2/11/2022 23:00,3912.25,-1935.67
2/12/2022 0:00,4028.17,-1905.25
2/12/2022 1:00,4528.17,-1814.17
2/12/2022 2:00,4732.42,-1981.33
2/12/2022 3:00,4912.42,-1969.33
2/12/2022 4:00,4984.5,-1794.33
2/12/2022 5:00,4925.25,-1442.17
2/12/2022 6:00,4862.67,-1221.5
2/12/2022 7:00,4879.25,-1173.58
2/12/2022 8:00,5397.33,-1463.58
2/12/2022 9:00,5650.33,-1630.08
2/12/2022 10:00,6296.08,-1758.17
2/12/2022 11:00,6247.83,-1637.33
2/12/2022 12:00,6391.83,-1632.5
2/12/2022 13:00,6365.92,-1508.75
2/12/2022 14:00,5824.17,-1353.67
2/12/2022 15:00,5453.67,-1380.92
2/12/2022 16:00,5261.42,-1464.5
2/12/2022 17:00,5336.5,-1503.58
2/12/2022 18:00,5274.08,-2021.33
2/12/2022 19:00,5041.92,-1882.17
2/12/2022 20:00,4961.17,-1969.58
2/12/2022 21:00,4866,-2030.83
2/12/2022 22:00,5191.58,-1787.5
2/12/2022 23:00,4497.5,-1767.75
2/13/2022 0:00,4246.5,-1672.92
2/13/2022 1:00,4584.58,-1835.5
2/13/2022 2:00,5037.67,-1738.83
2/13/2022 3:00,4575.67,-1779.25
2/13/2022 4:00,4155.92,-1538.5
2/13/2022 5:00,3828.92,-1670.67
2/13/2022 6:00,3442.42,-1794.33
2/13/2022 7:00,3688.17,-1930.33
2/13/2022 8:00,3633.58,-2100.5
2/13/2022 9:00,3599,-2097.17
2/13/2022 10:00,3713.75,-2234.25
2/13/2022 11:00,3632.08,-2329.42
2/13/2022 12:00,3610,-2087
2/13/2022 13:00,3398.17,-1944.33
2/13/2022 14:00,3001.42,-1887.75
2/13/2022 15:00,2715.17,-2115.17
2/13/2022 16:00,2223.69,-2303.75
2/13/2022 17:00,1770.22,-2598.25
2/13/2022 18:00,1862.58,-2393.92
2/13/2022 19:00,2115,-2291.83
2/13/2022 20:00,2261.25,-2263.25
2/13/2022 21:00,2168.33,-2193.67
2/13/2022 22:00,2406.5,-2192.67
2/13/2022 23:00,2417.33,-2128.75
2/14/2022 0:00,2218.08,-1759.17
2/14/2022 1:00,1885.75,-1631
2/14/2022 2:00,1949.75,-1683.42
2/14/2022 3:00,2266.17,-1609.42
2/14/2022 4:00,2270.25,-1728.17
2/14/2022 5:00,1993.92,-1759.08
2/14/2022 6:00,1726.75,-2167.92
2/14/2022 7:00,1564.17,-2576.5
2/14/2022 8:00,1727.17,-2358.33
2/14/2022 9:00,2095.92,-2338.25
2/14/2022 10:00,1934.92,-2312.42
2/14/2022 11:00,1381,-2400
2/14/2022 12:00,1273.83,-2170.67
2/14/2022 13:00,908.42,-1984.17
2/14/2022 14:00,1305.21,-2067.33
2/14/2022 15:00,1462.42,-2247.33
2/14/2022 16:00,1238.42,-2441.08
2/14/2022 17:00,939.25,-2441.92
2/14/2022 18:00,746.33,-2157
2/14/2022 19:00,393.83,-1959.75
2/14/2022 20:00,781.5,-2031.33
2/14/2022 21:00,994.17,-1976.08
2/14/2022 22:00,1544.42,-2053
2/14/2022 23:00,1801.58,-2176.17
2/15/2022 0:00,1496,-1809.25
2/15/2022 1:00,1293.33,-1951.17
2/15/2022 2:00,1036.75,-1949.58
2/15/2022 3:00,1195.83,-1929
2/15/2022 4:00,1214.67,-1891.67
2/15/2022 5:00,1266.08,-2007.17
2/15/2022 6:00,1061.08,-2175.42
2/15/2022 7:00,1448.67,-2395.33
2/15/2022 8:00,1708.08,-2369.17
2/15/2022 9:00,2756.83,-2239.5
2/15/2022 10:00,2720.67,-2233.17
2/15/2022 11:00,3272.5,-2109.5
2/15/2022 12:00,3450.67,-1962.5
2/15/2022 13:00,3210,-1867.25
2/15/2022 14:00,3306.58,-2043.92
2/15/2022 15:00,2995.5,-2038.83
